company_name	company_number	reg_address_post_town	reg_address_county	reg_address_country	reg_address_post_code	company_status	sic_code
"BLOCQ LIMITED"	09140078	LONDON	LONDON	""	"NI 4PH"	Active	62020
"BLUE DROPS ATLANTIC LIMITED"	10467925	LONDON	""	"UNITED KINGDOM"	"SE18 1 LQ"	Active	96090
"BLUE HEAVEN LIMITED"	10717620	LONDON	""	"UNITED KINGDOM"	"SE11 SQU"	Active	56103
"BLUE SKY CLEANER LTD"	07557392	LONDON	""	""	SW6	Active	96010
"BONDSWAY LIMITED"	07747446	LONDON	""	""	"EW 1YW"	Liquidation	68209
"BORN TO PLAY (B2P) LTD"	09763259	LONDON	""	ENGLAND	"NW 3NE"	"Active - Proposal to Strike off"	82990
"BORR DRILLING MANAGEMENT (UK) LIMITED"	10758288	LONDON	""	"UNITED KINGDOM"	"W1J 6Q2"	Active	09100
"BRANDMODA FASHIONS LIMITED"	09709845	LONDON	""	"UNITED KINGDOM"	"E7 ONR"	Active	13923
"BRECKNOCK PROPERTIES LTD"	10766756	LONDON	""	"UNITED KINGDOM"	"N3 IDH"	Active	41100
"BRETHREN IN SUCCESS SERVICES LTD"	10544463	LONDON	""	ENGLAND	"SE22 OPN"	Active	82990
"BRITISH ASSOCIATION FOR TISSUE BANKING"	03852423	LONDON	""	""	"WC11N 2JU"	Active	94120
"BUN & BAR LIMITED"	09254109	LONDON	""	""	"N8 ORL"	Active	96090
"BUNKER THEATRE PRODUCTIONS CIC"	10330447	LONDON	""	""	"SE1 16U"	Active	90010
"BURGERS AT WORK LTD"	10592068	LONDON	""	"UNITED KINGDOM"	ROYAUME-UNI	Active	64209
"BYWAYS HOLDINGS LIMITED"	05109756	LONDON	""	""	"W1F TLD"	Active	82990
"BYWAYS LIMITED"	02238472	LONDON	""	""	"W1F TLD"	Active	17230
"C.A.P MEDICAL ASSOCIATES LIMITED"	08945637	LONDON	""	ENGLAND	E3	Active	86101
"CAFE DI ROSSO LIMITED"	06915153	LONDON	""	""	"NW11 OBA"	Active	82990
"CAMBRIAN WASTE 2 ENERGY LTD"	07933803	LONDON	""	""	"W1CA 1LT"	Active	38210
"CAREFUL SYSTEMS LIMITED"	10176186	LONDON	""	"UNITED KINGDOM"	"EC4R OEH"	Active	62012
"CATERANDMERGER.COM LIMITED"	10097606	LONDON	""	"UNITED KINGDOM"	"N 17 9 LJ"	Active	74990
"CAYAU ET ASSOCIES LTD"	10491033	LONDON	""	ENGLAND	"N1 93Y"	Active	68310
"CEDARSREACH LTD"	10390278	LONDON	""	"UNITED KINGDOM"	"SW13. 9NP"	Active	74909
"CELBUX INTERNATIONAL HOLDINGS LIMITED"	10033446	LONDON	""	"UNITED KINGDOM"	"EC4V 4BG,"	Active	77400
"CENAFY LIMITED"	09292953	LONDON	""	ENGLAND	"N17G U"	Active	62012
"CETC LTD"	07959870	LONDON	""	""	UB8	"Active - Proposal to Strike off"	82990
"CFC CAPITAL LIMITED"	07982769	LONDON	ENGLAND	""	"EC3V OAA"	Active	64205
"CHAMRIA LTD"	10472262	LONDON	""	"UNITED KINGDOM"	"WCIN 3AX"	Active	62020
"CHANS XING LTD"	09309490	LONDON	""	""	"WID 6JG"	Active	56103
"CHARISMA ACADEMY LTD"	08499817	LONDON	LONDON	ENGLAND	"WC1 A 2SE"	"Active - Proposal to Strike off"	85590
"CHECK THE DEAL LTD"	10476695	LONDON	""	"UNITED KINGDOM"	"WCIN 3AX"	Active	62020
"CHELSEA SECURITY LTD"	10930662	LONDON	""	ENGLAND	"SW10 OPQ"	Active	80100
"CHRISTIAN SANDER & TEAM LTD"	09865895	LONDON	""	ENGLAND	"E18 2W"	Active	63120
"CHURCH RISE PROPERTY OWNERS LTD"	08302157	LONDON	""	""	"N1 7GIU"	Active	94990
"CINDY BURHAN LIMITED"	10642663	LONDON	""	ENGLAND	"SE27 ONU"	Active	62020
"CITI (UK) PENSION TRUSTEE LIMITED"	04060697	LONDON	""	""	"WIU 7EU"	Liquidation	74990
"CITY YEAR LONDON TRADING LIMITED"	07428238	LONDON	""	""	"N19 PP"	Active	85600
"CITYBOX ADVERTISING LIMITED"	04975399	LONDON	""	""	"WN 1RH"	Active	73110
"CLIQUISH 22 LIMITED"	10131310	LONDON	""	ENGLAND	"W1H2 HD"	Active	80100
"CLIVE JACOBS PUBLISHING LIMITED"	06928818	LONDON	""	"UNITED KINGDOM"	"SW1W OAU"	Active	58190
"CLOUD SPACE (UK) LIMITED"	08754333	LONDON	""	""	"E1W 3 SS"	Active	63110
"COFFEE BLUSH LIMITED"	09330113	LONDON	""	""	"N9 OPD"	Active	96090
"COLMAN-UNDERWOOD CONSULTING LIMITED"	09653374	LONDON	""	"UNITED KINGDOM"	"N4 3 FD"	Active	62020
"COMMERCIAL BTF LTD"	06028330	LONDON	""	""	"WC1 B3BQ"	Active	82990
"COMSGLOBE INVESTMENTS LTD"	06395662	LONDON	""	""	"NF 0AR"	Active	99000
"CONSERVATIVE WAY FORWARD LIMITED"	09644449	LONDON	""	""	"SW1H OHW"	Active	94990
"COUNTRYWIDE PLANT SOLUTIONS LIMITED"	09547265	LONDON	""	"UNITED KINGDOM"	"WIH 7QD"	Active	43999
"CREATEMASTER LIMITED"	04427732	LONDON	""	""	"WIU 6EQ"	Active	63990
"CREATIONS TJ LTD"	09960575	LONDON	""	ENGLAND	"N17 OTR"	Active	85590
"CRYOCEN LTD"	10686517	LONDON	""	ENGLAND	"HA2 THH"	Active	82990
"CUBA JEWELLERS LTD"	10787056	LONDON	""	"UNITED KINGDOM"	"TW3 2 PS"	Active	96090
"D CARE LTD"	10417170	LONDON	SURREY	ENGLAND	"CR35 NU"	Active	96090
"D'ORO CAFE LTD"	10822286	LONDON	""	ENGLAND	"N18 07Y"	Active	82990
"D. DONOVAN & SONS (CARPET SERVICES) LIMITED"	01270624	LONDON	""	""	"W14 OHD"	Active	43330
"D.M.R.E. LTD"	08154946	LONDON	""	"UNITED KINGDOM"	"WC1 N3AX"	Active	96090
"D.R.S BULDING SERVICES LIMITED"	10269196	LONDON	""	"UNITED KINGDOM"	"NW6 5 NP"	Active	41201
"DANIA DRYCLEANING & LAUNDRY LTD"	08636301	LONDON	""	""	"W14 OLH"	Active	96010
"DAS ASHIS LTD"	10472057	LONDON	""	"UNITED KINGDOM"	"WCIN 3AX"	Active	62020
"DCM GROUP GLOBAL LIMITED"	10849131	LONDON	""	ENGLAND	"SW1 W0DH"	Active	64999
"DCS COFFEE & SPICES LIMITED"	10429535	LONDON	""	"UNITED KINGDOM"	"SE1 1 EN"	Active	46370
"DEABASHISH GHOSH LTD"	10492005	LONDON	""	"UNITED KINGDOM"	"WCIN 3AX"	Active	62020
"DEMMYKITTIES CHILDCARE SERVICES LIMITED"	07301892	LONDON	""	""	"SE28 82U"	Active	85100
"DERIVE CLOUD LTD"	08530029	LONDON	""	ENGLAND	"W140 DB"	Active	62020
"DESIGN BY NOOK LTD"	07879916	LONDON	MIDDLESEX	""	"HA2 OHY"	Active	74100
"DESIGNER LTD"	06668989	LONDON	""	""	"WI H 1DP"	Active	70221
"DEX3 LTD"	08622485	LONDON	""	ENGLAND	"N1 7 GU"	Active	96090
"DFX GLOBAL LIMITED"	09911753	LONDON	""	ENGLAND	"SW1 W0DH"	Active	64999
"DHERMENDRA PASWAN LTD"	10491910	LONDON	""	"UNITED KINGDOM"	"WCIN 3AX"	Active	62020
"DIGITAL APPLICATIONS INTERNATIONAL LIMITED"	01008089	LONDON	""	""	"WCIR 4EQ"	Active	62020
"DIRECT FURNITURE FOR U LTD"	06476700	LONDON	""	""	"EC1Y OUJ"	Liquidation	46499
"DK HEALTH AND FITNESS LTD"	10282965	LONDON	""	"UNITED KINGDOM"	"SWIV 3QB"	Active	74990
"DMN PROPERTY SOLUTIONS LTD"	08936970	LONDON	""	""	"NW2 5 JP"	Active	68209
"DO.KLA. LTD"	09619243	LONDON	""	"UNITED KINGDOM"	"WC1 N3AX"	Active	99999
"DRAGONFLY CAFE LIMITED"	09862693	LONDON	""	"UNITED KINGDOM"	"ECIV 0BN"	Active	56103
"DRHF LTD"	08851396	LONDON	""	""	"W2 WPT"	Active	56103
